SR. NO.,ACC_X,ACC_Y,ACC_Z,ROTATION_X,ROTATION_Y,ROTATION_Z,TEMP C lm35,TEMP F lm 35,galvanic skin response,Heartrate,bpm/SpO2
0,-0.03,-0.04,0.89,-18.46,-1.05,-2.09,13.70,56.65,505,0.00,0.00
1,-0.03,-0.05,0.88,-18.82,-1.04,-2.21,14.34,57.81,512,0.00,0.00
2,-0.03,-0.04,0.90,-18.46,-1.12,-2.07,11.52,52.74,507,0.00,0.00
3,-0.03,-0.05,0.88,-18.46,-1.08,-2.26,13.70,56.65,514,0.00,0.00
4,-0.03,-0.05,0.89,-18.34,-1.18,-2.17,14.18,57.52,510,0.00,0.00
5,-0.03,-0.05,0.89,-18.34,-1.12,-2.25,14.66,58.39,510,0.00,0.00
6,-0.03,-0.04,0.90,-18.46,-1.07,-2.10,11.92,53.46,506,0.00,0.00
7,-0.03,-0.05,0.89,-18.82,-0.98,-2.26,11.60,52.88,513,0.00,0.00
8,-0.03,-0.05,0.89,-18.46,-0.85,-2.16,12.57,54.62,511,0.00,0.00
9,-0.03,-0.04,0.89,-18.46,-1.10,-2.22,13.29,55.93,511,0.00,0.00
10,-0.03,-0.05,0.90,-18.34,-1.03,-2.28,12.17,53.90,507,0.00,0.00
11,-0.03,-0.05,0.89,-18.58,-0.84,-2.34,13.45,56.22,509,0.00,0.00
12,-0.03,-0.05,0.89,-18.21,-0.98,-2.18,11.60,52.88,511,0.00,0.00
13,-0.02,-0.05,0.89,-18.70,-1.15,-2.31,14.18,57.52,509,0.00,0.00
14,-0.02,-0.04,0.89,-18.58,-1.11,-2.08,12.08,53.75,514,0.00,0.00
15,-0.04,-0.05,0.88,-18.46,-0.92,-2.26,13.86,56.94,512,0.00,0.00
16,-0.03,-0.04,0.89,-18.46,-1.01,-2.37,11.84,53.32,509,0.00,0.00
17,-0.02,-0.05,0.89,-18.34,-0.83,-2.15,11.60,52.88,511,0.00,0.00
18,-0.03,-0.04,0.88,-18.34,-1.18,-2.17,14.42,57.96,509,0.00,0.00
19,-0.03,-0.05,0.89,-18.70,-1.05,-2.13,11.60,52.88,510,0.00,0.00
20,-0.03,-0.05,0.89,-18.82,-0.84,-2.17,11.60,52.88,511,0.00,0.00
21,-0.03,-0.04,0.90,-18.70,-0.95,-2.19,14.74,58.54,512,0.00,0.00
22,-0.03,-0.04,0.87,-18.58,-1.00,-2.15,15.39,59.70,508,0.00,0.00
23,-0.03,-0.04,0.89,-18.34,-1.21,-2.34,11.60,52.88,512,0.00,0.00
24,-0.03,-0.04,0.88,-18.21,-1.11,-2.17,14.26,57.67,509,0.00,0.00
25,-0.03,-0.04,0.89,-18.70,-1.10,-2.28,12.49,54.48,513,0.00,0.00
26,-0.03,-0.05,0.89,-18.34,-0.98,-2.22,14.50,58.10,512,0.00,0.00
27,-0.03,-0.04,0.89,-18.46,-0.92,-2.16,12.33,54.19,509,0.00,0.00
28,-0.03,-0.04,0.90,-18.46,-0.98,-2.27,14.18,57.52,512,0.00,0.00
29,-0.03,-0.04,0.89,-18.34,-1.19,-2.23,12.73,54.91,509,0.00,0.00
30,-0.03,-0.04,0.89,-18.46,-1.25,-2.45,14.66,58.39,508,0.00,0.00
31,-0.03,-0.04,0.90,-18.46,-0.92,-2.06,11.92,53.46,513,0.00,0.00
32,-0.03,-0.04,0.88,-18.58,-1.11,-2.37,15.07,59.12,511,0.00,0.00
33,-0.03,-0.05,0.89,-18.46,-0.97,-2.14,11.60,52.88,511,0.00,0.00
34,-0.03,-0.04,0.89,-18.46,-1.12,-2.21,13.29,55.93,508,0.00,0.00
35,-0.02,-0.04,0.89,-18.46,-1.24,-2.11,12.73,54.91,504,0.00,0.00
36,-0.03,-0.04,0.90,-18.46,-0.72,-2.19,11.52,52.74,513,0.00,0.00
37,-0.03,-0.04,0.89,-18.34,-0.96,-2.03,11.76,53.17,511,0.00,0.00
38,-0.03,-0.04,0.89,-18.58,-1.02,-2.24,12.97,55.35,522,0.00,0.00
39,-0.03,-0.04,0.89,-18.58,-1.06,-2.24,14.10,57.38,514,0.00,0.00
40,-0.03,-0.05,0.89,-18.34,-1.07,-2.24,12.17,53.90,511,0.00,0.00
41,-0.03,-0.05,0.88,-18.46,-1.07,-2.13,11.60,52.88,514,0.00,0.00
42,-0.03,-0.04,0.88,-18.70,-1.08,-2.26,12.00,53.61,508,0.00,0.00
43,-0.03,-0.05,0.89,-18.34,-1.02,-2.16,13.29,55.93,506,0.00,0.00
44,-0.03,-0.05,0.89,-18.70,-1.09,-2.13,11.52,52.74,509,0.00,0.00
45,-0.03,-0.04,0.89,-18.34,-0.89,-2.08,11.44,52.59,509,0.00,0.00
46,-0.03,-0.04,0.89,-18.46,-0.90,-2.46,12.33,54.19,511,0.00,0.00
47,-0.03,-0.05,0.90,-18.58,-0.88,-2.14,12.89,55.20,510,0.00,0.00
48,-0.03,-0.04,0.89,-18.58,-1.02,-2.16,12.49,54.48,510,0.00,0.00
49,-0.03,-0.05,0.89,-18.46,-1.08,-2.31,12.33,54.19,513,0.00,0.00
0,-0.03,-0.04,0.88,-18.46,-0.93,-2.12,11.44,52.59,511,0.00,0.00
1,-0.03,-0.04,0.89,-18.34,-0.94,-2.17,15.23,59.41,511,0.00,0.00
2,-0.03,-0.05,0.89,-18.58,-0.90,-2.18,12.65,54.77,510,0.00,0.00
3,-0.03,-0.04,0.89,-18.34,-1.08,-2.33,14.74,58.54,511,0.00,0.00
4,-0.03,-0.05,0.89,-18.58,-0.89,-2.35,12.41,54.33,515,0.00,0.00
5,-0.03,-0.05,0.90,-18.46,-1.08,-2.25,12.08,53.75,511,0.00,0.00
6,-0.03,-0.05,0.89,-18.46,-1.11,-2.23,12.17,53.90,512,0.00,0.00
7,-0.03,-0.05,0.89,-18.58,-0.96,-2.18,12.49,54.48,509,0.00,0.00
8,-0.03,-0.04,0.89,-18.70,-1.08,-2.25,13.37,56.07,509,0.00,0.00
9,-0.03,-0.04,0.89,-18.34,-0.95,-2.08,12.89,55.20,511,0.00,0.00
10,-0.03,-0.04,0.88,-18.46,-1.03,-2.18,12.73,54.91,509,0.00,0.00
11,-0.03,-0.05,0.88,-18.46,-0.99,-2.22,12.00,53.61,520,0.00,0.00
12,-0.04,-0.04,0.89,-18.58,-1.01,-2.17,12.65,54.77,511,0.00,0.00
13,-0.03,-0.04,0.88,-18.34,-1.05,-2.24,13.05,55.49,511,0.00,0.00
14,-0.03,-0.05,0.89,-18.46,-0.99,-2.14,13.37,56.07,508,0.00,0.00
15,-0.03,-0.05,0.89,-18.34,-0.99,-2.22,13.86,56.94,508,0.00,0.00
16,-0.03,-0.04,0.88,-18.46,-0.98,-2.08,11.68,53.03,507,0.00,0.00
17,-0.03,-0.05,0.89,-18.70,-1.14,-2.35,11.76,53.17,511,0.00,0.00
18,-0.03,-0.04,0.89,-18.46,-0.98,-2.28,12.17,53.90,510,0.00,0.00
19,-0.03,-0.04,0.89,-18.34,-0.90,-2.18,11.44,52.59,513,0.00,0.00
20,-0.03,-0.04,0.89,-18.46,-1.18,-2.38,12.17,53.90,511,0.00,0.00
21,-0.03,-0.04,0.88,-18.70,-1.09,-2.34,13.70,56.65,510,0.00,0.00
22,-0.03,-0.04,0.88,-18.21,-0.93,-1.94,12.08,53.75,511,0.00,0.00
23,-0.03,-0.05,0.88,-18.34,-0.89,-2.32,12.41,54.33,510,0.00,0.00
24,-0.03,-0.04,0.89,-18.58,-1.09,-2.31,11.68,53.03,509,0.00,0.00
25,-0.03,-0.04,0.89,-18.21,-0.95,-2.34,15.31,59.55,516,0.00,0.00
26,-0.03,-0.05,0.89,-18.34,-1.02,-2.30,14.26,57.67,510,0.00,0.00
